race_id,escape_strength,inner_collapse_risk,attack_pressure,race_upset_score,probability_flatness,dynamic_rerank_subset,scenario,result_scenario,winner_course,winner_style,lane1_status,top3_shape,is_outer_chain,is_inner_dominant
2026-07-12_11_01,0.31798014426518056,0.4862145505914505,0.3420973181415755,0.44751577891695904,0.907315562387336,stable_escape,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__INNER_CENTER,1,ESCAPE,IN_WIN,INNER_CENTER,False,False
2026-07-12_11_02,0.2798713346048273,0.4963178882460804,0.31537455108573975,0.432375559488557,0.9010018775957359,neutral,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__INNER_TOP3,1,ESCAPE,IN_WIN,INNER_TOP3,False,True
2026-07-12_11_03,0.2536308278569273,0.5190768913038226,0.33431044877594585,0.4600276036628623,0.9084513963108767,neutral,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__CENTER_OUTER,1,ESCAPE,IN_WIN,CENTER_OUTER,False,False
2026-07-12_11_04,0.28700301131060924,0.5170337838931569,0.3709202312178529,0.4572155743522007,0.9151047929218696,neutral,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__OUTER_CHAIN,1,ESCAPE,IN_WIN,OUTER_CHAIN,True,False
2026-07-12_11_05,0.3262872843963841,0.4816838901549969,0.3313316084931478,0.43740060270308123,0.8993220981832245,stable_escape,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__INNER_TOP3,1,ESCAPE,IN_WIN,INNER_TOP3,False,True
2026-07-12_11_06,0.3038002077458945,0.5142870936661244,0.37898489914963096,0.47387109368165564,0.9023709867324443,attack_or_collapse,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__CENTER_OUTER,1,ESCAPE,IN_WIN,CENTER_OUTER,False,False
2026-07-12_11_07,0.29714819661515124,0.5067929094686672,0.366777286504973,0.4402026309874319,0.8993949727103216,stable_escape,S1_C2_SASHI_IN_REMAIN,C2__SASHI__IN_REMAIN__MIXED,2,SASHI,IN_REMAIN,MIXED,False,False
2026-07-12_11_08,0.303593089770595,0.5019224573701304,0.3624594245109902,0.45579081521078185,0.8997284931581163,stable_escape,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__INNER_TOP3,1,ESCAPE,IN_WIN,INNER_TOP3,False,True
2026-07-12_11_09,0.24615279498464313,0.5479723391106179,0.41289559124532005,0.4749154299890201,0.9095337470448265,attack_or_collapse,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__INNER_CENTER,1,ESCAPE,IN_WIN,INNER_CENTER,False,False
2026-07-12_11_10,0.23191862067158944,0.5408833286855047,0.35139127366653694,0.4744321843560506,0.9332351631906086,attack_or_collapse,S3_C3_WIN_CENTER,C3__SASHI__IN_REMAIN__CENTER_OUTER,3,SASHI,IN_REMAIN,CENTER_OUTER,False,False
2026-07-12_11_11,0.30469740508998644,0.49690674033267906,0.34141147209470735,0.4301485149380997,0.9066263054972663,stable_escape,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__INNER_CENTER,1,ESCAPE,IN_WIN,INNER_CENTER,False,False
2026-07-12_11_12,0.30024671928671204,0.5000986190661978,0.3583886837302297,0.4409379871734482,0.9016909116804886,stable_escape,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__INNER_CENTER,1,ESCAPE,IN_WIN,INNER_CENTER,False,False
2026-07-12_14_01,0.24124163901732762,0.531967468535026,0.35647734200907766,0.4416554724168562,0.89154150199747,neutral,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__INNER_TOP3,1,ESCAPE,IN_WIN,INNER_TOP3,False,True
2026-07-12_14_02,0.23187248265874427,0.5431707453970889,0.3596029977379575,0.47697669118444846,0.953568237315306,attack_or_collapse,S4_C4_WIN_KADO,C4__MAKURI__IN_OUT__OUTER_CHAIN,4,MAKURI,IN_OUT,OUTER_CHAIN,True,False
2026-07-12_14_03,0.3071248893667634,0.503062330071675,0.3597782497220353,0.4599229190119193,0.922474145826731,stable_escape,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__CENTER_OUTER,1,ESCAPE,IN_WIN,CENTER_OUTER,False,False
