race_date,venue_code,race_no,race_id,trifecta,probability,actual_trifecta,trifecta_payout,hit,stake_amount,return_amount
2026-06-28,04,11,2026-06-28_04_11,1-2-5,0.44165235066786596,1-3-2,1190.0,False,100.0,0.0
2026-06-28,04,12,2026-06-28_04_12,1-2-4,0.4481104905600689,1-2-4,2070.0,True,100.0,2070.0
2026-06-28,05,1,2026-06-28_05_01,1-5-6,0.44165235066786596,1-5-2,1980.0,False,100.0,0.0
2026-06-28,05,2,2026-06-28_05_02,1-3-5,0.43850271961653225,1-3-5,2440.0,True,100.0,2440.0
2026-06-28,05,3,2026-06-28_05_03,2-4-6,0.5334302799744544,2-4-6,6200.0,True,100.0,6200.0
2026-06-28,05,4,2026-06-28_05_04,1-5-6,0.5334302799744544,1-5-6,10900.0,True,100.0,10900.0
2026-06-28,05,5,2026-06-28_05_05,1-3-2,0.5334302799744544,1-3-2,2020.0,True,100.0,2020.0
2026-06-28,05,6,2026-06-28_05_06,6-4-1,0.4222195421183313,6-4-1,38100.0,True,100.0,38100.0
2026-06-28,05,7,2026-06-28_05_07,3-6-1,0.5595365616665355,1-3-2,470.0,False,100.0,0.0
2026-06-28,05,8,2026-06-28_05_08,4-1-5,0.44165235066786596,1-4-2,770.0,False,100.0,0.0
2026-06-28,05,9,2026-06-28_05_09,2-4-1,0.44165235066786596,1-2-6,1420.0,False,100.0,0.0
2026-06-28,05,10,2026-06-28_05_10,1-3-6,0.5595365616665355,1-3-2,590.0,False,100.0,0.0
2026-06-28,05,11,2026-06-28_05_11,5-2-1,0.4222195421183313,5-2-1,13740.0,True,100.0,13740.0
2026-06-28,05,12,2026-06-28_05_12,1-4-2,0.5334302799744544,1-4-2,1170.0,True,100.0,1170.0
2026-06-28,07,1,2026-06-28_07_01,3-1-2,0.42221954211833135,3-1-2,7510.0,True,100.0,7510.0
2026-06-28,07,2,2026-06-28_07_02,4-3-1,0.4481104905600689,4-3-1,11960.0,True,100.0,11960.0
2026-06-28,07,3,2026-06-28_07_03,5-1-3,0.5334302799744544,5-1-3,12030.0,True,100.0,12030.0
2026-06-28,07,4,2026-06-28_07_04,2-3-4,0.4158533777842374,2-3-4,3650.0,True,100.0,3650.0
2026-06-28,07,5,2026-06-28_07_05,5-1-3,0.4481104905600689,5-1-3,3100.0,True,100.0,3100.0
2026-06-28,07,6,2026-06-28_07_06,4-1-6,0.43850271961653225,1-4-2,560.0,False,100.0,0.0
2026-06-28,07,7,2026-06-28_07_07,1-3-4,0.44811049056006896,1-3-4,1310.0,True,100.0,1310.0
2026-06-28,07,8,2026-06-28_07_08,1-4-6,0.5595365616665355,1-4-5,2110.0,False,100.0,0.0
2026-06-28,07,9,2026-06-28_07_09,1-3-5,0.441652350667866,1-3-5,1270.0,True,100.0,1270.0
2026-06-28,07,10,2026-06-28_07_10,3-5-1,0.5595365616665355,3-1-2,2020.0,False,100.0,0.0
2026-06-28,07,11,2026-06-28_07_11,1-2-4,0.43850271961653225,1-2-3,510.0,False,100.0,0.0
2026-06-28,07,12,2026-06-28_07_12,3-1-5,0.4385027196165322,3-1-5,3640.0,True,100.0,3640.0
2026-06-28,09,1,2026-06-28_09_01,2-1-4,0.44811049056006896,2-1-4,2070.0,True,100.0,2070.0
2026-06-28,09,2,2026-06-28_09_02,1-4-5,0.43850271961653225,1-4-5,1770.0,True,100.0,1770.0
2026-06-28,09,3,2026-06-28_09_03,1-4-2,0.43850271961653225,1-4-2,2400.0,True,100.0,2400.0
2026-06-28,09,4,2026-06-28_09_04,5-2-4,0.4481104905600689,1-5-2,830.0,False,100.0,0.0
2026-06-28,09,5,2026-06-28_09_05,1-2-4,0.4158533777842374,1-2-4,1200.0,True,100.0,1200.0
2026-06-28,09,6,2026-06-28_09_06,4-1-5,0.5334302799744544,4-1-5,1380.0,True,100.0,1380.0
2026-06-28,09,7,2026-06-28_09_07,4-3-1,0.4481104905600689,1-4-2,510.0,False,100.0,0.0
2026-06-28,09,8,2026-06-28_09_08,3-1-4,0.44165235066786596,1-3-2,400.0,False,100.0,0.0
2026-06-28,09,9,2026-06-28_09_09,1-5-6,0.5334302799744544,1-5-6,6130.0,True,100.0,6130.0
2026-06-28,09,10,2026-06-28_09_10,2-1-3,0.43850271961653225,2-1-4,2750.0,False,100.0,0.0
2026-06-28,09,11,2026-06-28_09_11,1-4-3,0.5334302799744544,1-4-3,2290.0,True,100.0,2290.0
2026-06-28,09,12,2026-06-28_09_12,1-4-3,0.43850271961653225,1-5-2,2620.0,False,100.0,0.0
2026-06-28,10,1,2026-06-28_10_01,1-5-2,0.5595365616665355,1-3-5,820.0,False,100.0,0.0
2026-06-28,10,2,2026-06-28_10_02,1-5-2,0.44165235066786596,2-1-3,1070.0,False,100.0,0.0
2026-06-28,10,3,2026-06-28_10_03,1-5-2,0.5334302799744544,1-5-2,3720.0,True,100.0,3720.0
2026-06-28,10,4,2026-06-28_10_04,1-4-2,0.5595365616665355,1-2-3,540.0,False,100.0,0.0
2026-06-28,10,5,2026-06-28_10_05,2-3-4,0.42221954211833135,2-3-4,9510.0,True,100.0,9510.0
2026-06-28,10,6,2026-06-28_10_06,3-2-1,0.4158533777842374,3-2-1,4720.0,True,100.0,4720.0
2026-06-28,10,7,2026-06-28_10_07,4-2-1,0.4481104905600689,3-4-1,1540.0,False,100.0,0.0
